Производитель;Серия;Типоразмер;Взрывозащита;Материал;Цвет(RAL);Температура минимальная;Температура максимальная;IP;Крепление;8;9;10;Ширина;Длина;Глубина;Масса;Толщина стенки;Зона Сверловки AB Ш;Зона Сверловки БГ Ш;Внутренние размеры AB;Внутренние размеры БГ;Межосевое расстояние для DIN;Кол-во отверстий;Расстояния болтов вдоль АВ;Расстояния болтов вдоль БГ;Количество болтов;Внутренняя высота коробки;Маркировка взрывозащиты;Наличие
ВЗОР;ВС;121209;Exe;Сталь;7042;-60;130;66;;;;;120;120;90;мар.91;4;;;116;116;;;;;;50;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;181009;Exe;Сталь;7042;-60;130;66;;;;;180;100;90;апр.51;4;;;176;96;;;;;;50;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;151512;Exe;Сталь;7042;-60;130;66;;;;;150;150;120;май.83;4;;;146;146;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;202012;Exe;Сталь;7042;-60;130;66;;;;;200;200;120;сен.84;4;;;196;196;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;302012;Exe;Сталь;7042;-60;130;66;;;;;300;200;120;13.мар;4;;;296;196;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;252512;Exe;Сталь;7042;-60;130;66;;;;;250;250;120;13.38;4;;;246;246;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;352512;Exe;Сталь;7042;-60;130;66;;;;;350;250;120;17.апр;4;;;346;246;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;302020;Exe;Сталь;7042;-60;130;66;;;;;300;200;200;16.68;4;;;296;196;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;252520;Exe;Сталь;7042;-60;130;66;;;;;250;250;200;17.апр;4;;;246;246;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;382220;Exe;Сталь;7042;-60;130;66;;;;;380;220;200;21.00;4;;;376;216;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;352520;Exe;Сталь;7042;-60;130;66;;;;;350;250;200;21.44;4;;;346;246;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВС;353020;Exe;Сталь;7042;-60;130;66;;;;;350;300;200;24.24;4;;;346;296;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
